FILENAME,OBS_DIR,KW_MID_OBS_TIME,KW_OBJNAME,KW_DPRTYPE
NIRPS_2022-11-05T18_02_58_292.fits,2022-11-05,59888.75525659926,CALIB,DARK_DARK
NIRPS_2022-11-05T18_12_21_190.fits,2022-11-05,59888.761771628655,CALIB,DARK_DARK
NIRPS_2022-11-05T18_21_44_089.fits,2022-11-05,59888.76828665846,CALIB,DARK_DARK
NIRPS_2022-11-05T18_31_06_987.fits,2022-11-05,59888.77480168686,CALIB,DARK_DARK
NIRPS_2022-11-05T18_40_29_886.fits,2022-11-05,59888.781316717155,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T17_15_13_622.fits,2022-11-05,59888.722100693754,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T17_24_36_520.fits,2022-11-05,59888.72861572546,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T17_33_59_420.fits,2022-11-05,59888.735130763154,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T17_43_22_318.fits,2022-11-05,59888.74164580046,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T17_52_45_218.fits,2022-11-05,59888.74816083396,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-05T18_50_37_380.fits,2022-11-05,59888.785412887046,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_51_33_114.fits,2022-11-05,59888.786057954145,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_52_28_848.fits,2022-11-05,59888.78670301985,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_53_24_581.fits,2022-11-05,59888.787348086444,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_54_20_315.fits,2022-11-05,59888.787993152146,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_56_00_645.fits,2022-11-05,59888.789412392995,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_57_40_964.fits,2022-11-05,59888.790573500795,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T18_59_21_284.fits,2022-11-05,59888.7917346076,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_01_01_603.fits,2022-11-05,59888.7928957154,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_02_41_923.fits,2022-11-05,59888.7940568218,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_05_06_838.fits,2022-11-05,59888.79547605704,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_06_02_572.fits,2022-11-05,59888.79612112325,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_06_58_306.fits,2022-11-05,59888.796766190244,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_07_54_039.fits,2022-11-05,59888.797411255946,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_08_49_773.fits,2022-11-05,59888.79805632254,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_10_30_103.fits,2022-11-05,59888.799475561995,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_12_10_422.fits,2022-11-05,59888.8006366703,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_13_50_741.fits,2022-11-05,59888.801797776694,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_15_31_061.fits,2022-11-05,59888.802958884895,CALIB,LED_LED
NIRPS_PATCHED_2022-11-05T19_17_11_381.fits,2022-11-05,59888.80411999179,CALIB,LED_LED
NIRPS_PATCHED_2022-11-06T14_27_55_526.fits,2022-11-06,59889.605919028654,CALIB,DARK_DARK
NIRPS_PATCHED_2022-11-06T14_37_18_425.fits,2022-11-06,59889.61243406215,CALIB,DARK_DARK
