ECHELLE_ORDER,APERO_PYTHON,ESO_C,ESO_PYTHON
149,0,nan,nan
148,1,1,0
147,2,2,1
146,3,3,2
145,4,4,3
144,5,5,4
143,6,6,5
142,7,7,6
141,8,8,7
140,9,9,8
139,10,10,9
138,11,11,10
137,12,12,11
136,13,13,12
135,14,14,13
134,15,15,14
133,16,16,15
132,17,17,16
131,18,18,17
130,19,19,18
129,20,20,19
128,21,21,20
127,22,22,21
126,23,23,22
125,24,24,23
124,25,25,24
123,26,26,25
122,27,27,26
121,28,28,27
120,29,29,28
119,30,30,29
118,31,31,30
117,32,32,31
116,33,33,32
115,34,34,33
114,35,35,34
113,36,36,35
112,37,37,36
111,38,38,37
110,39,39,38
109,40,40,39
108,41,41,40
107,42,42,41
106,43,43,42
105,44,nan,nan
104,45,nan,nan
103,46,44,43
102,47,45,44
101,48,46,45
100,49,47,46
99,50,48,47
98,51,49,48
97,52,50,49
96,53,51,50
95,54,52,51
94,55,53,52
93,56,54,53
92,57,55,54
91,58,56,55
90,59,57,56
89,60,58,57
88,61,59,58
87,62,60,59
86,63,61,60
85,64,62,61
84,65,63,62
83,66,64,63
82,67,65,64
81,68,66,65
80,69,67,66
79,70,68,67
78,71,69,68
77,72,70,69
76,73,71,70
75,74,nan,nan
