OBJNAME,GAIADR2ID,2MASSID,RV,RV_REF,TEFF,TEFF_REF,ALIASES,CHECKED,FOUND,FOUND_MANUAL,COMMENTS
V900MON,3050857592681422080,,,,,,V900MON|2MASS J06572222-0823176|UCAC4 409-021110|V* V900 Mon|WISE J065722.22-082317.6|Gaia DR2 3050857592681422080|,FALSE,FALSE,TRUE,
BBW76,5594750362570794368,,,,,,BBW76|2MASS J07503560-3306238|AKARI-IRC-V1 J0750355-330623|AM 0748-325|BRAN  76|CGMW 2-1365|IRAS 07486-3258|UCAC4 285-026694|V* V646 Pup|WISE J075035.58-330623.8|[GRV93]  2|Gaia DR2 5594750362570794368,FALSE,FALSE,TRUE,"Assuming BRAN 76 is the right one, need human or some sort of mapping between names"
V1515CYG,2068538335168568192,,,,,,V1515CYG|2MASS J20234802+4212257|HBC 692|IRAS 20220+4202|NOMAD1 1322-0469999|UCAC4 662-088012|uvby98 610300692|V* V1515 Cyg|WISE J202348.01+421225.7|[KW97] 46-15|[MTK2011] F4  3|[Z97]  5|AAVSO 2020+41|Gaia DR2 2068538335168568192,FALSE,FALSE,TRUE,
V582AUR,182897956784147328,,,,,,V582AUR,FALSE,FALSE,FALSE,This Gaia id matches nothing in simbad. OBJNAME in simbad gives GAIAID 182899365533415680
V1057CYG,2162235662383047040,,,,,,V1057CYG|2MASS J20585371+4415283|CSI+44-20571  2|EM* UHA   94|EM* LkHA  190|GEN# +6.20038190|GSC 03179-01055|HBC 300|HBHA 4204-02|JP11  5439|JP11  5293|MSX6C G085.4897-01.0466|SV* SON  7817|UCAC4 672-087538|uvby98 610300300|V* V1057 Cyg|WISE J205853.71+441528.2|[KW97] 53-38|[PCC93] 435|[RGS2011] J205853.74+441528.3|AAVSO 2055+43|Gaia DR2 2162235662383047040,FALSE,FALSE,TRUE,
GL411,762815333123157760,,,,,,GL411,FALSE,FALSE,FALSE,This Gaia id matches nothing in simbad. OBJNAME in simbad gives no GAIAID
NYORI,3017373714110400128,,,,,,NYORI|2MASS J05353601-0512253|HBC 148|JW  917|Kiso A-0976 189|2MASSI J0535360-051225|PACH 292|Parenago  2119|TKK  1046|TKK J05353601-0512252|V* NY Ori|[CHS2001] 11255|[DRH2012] 1313|[DRS2009] 71|[FHM2008] S1-ap148|[H97b] 917|[JMO94] 161|[KHT2016] ONC RV835|[MGM2012] 2250|[S58] 190|[TKT2002] I278|Gaia DR2 3017373714110400128,FALSE,FALSE,TRUE,
V883ORI,3016106909210376704,,,,,,V883ORI|2MASS J05381810-0702259|HBC 489|HH  183|HOPS 376|SDSS J053818.10-070226.0|V* V883 Ori|[FKV2013] 1247|[MGM2012] 670|Gaia DR2 3016106909210376704,FALSE,FALSE,TRUE,
XZTAU,3314312432806907776,,,,,,XZTAU|Cl* Melotte   25     VA     634|Cl* Melotte   25    HAN     512|2MASS J04314544+1814359|UCAC2  38202586|UCAC4 542-009390|VSS   XI-5|[GOK2004] 68|Gaia DR2 3314312432806907776,FALSE,FALSE,FALSE,The Gaia id for “xz tau” in simbad is 3314312604605602688
HD185603,2033123654092592384,,,,,,HD_185603|HD 185603|AG+31 1846|BD+30  3673|GEN# +1.00185603|GSC 02655-03344|HIC  96618|HIP  96618|KELT-20|LF  2 +31  176|MASCARA-2|2MASS J19383872+3113091|PPM  83273|SAO  68614|SKY# 36674|TD1 25169|TYC 2655-3344-1|uvby98 100185603|Gaia DR2 2033123654092592384|Gaia DR1 2033123649761760384,FALSE,FALSE,TRUE,
