obsdir,who,mentioned,raw_ha,raw_he,red_ha,red_he
2025-01-10,Frederic,False,"HAS_OBSDIR, COB_TEST, NO_SCI, CALIB_TEST, CALIB_QUAL, SCI_QUAL","HAS_OBSDIR, COB_TEST, NO_SCI, CALIB_TEST, CALIB_QUAL, SCI_QUAL","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-09,Frederic,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-08,Frederic,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-05,Thomas,False,"NO_SCI, ENG_TEST","NO_SCI, ENG_TEST","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-04,Thomas,False,"NO_SCI, ENG_TEST","NO_SCI, ENG_TEST","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-03,Thomas,False,NO_SCI,NO_SCI,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-02,Thomas,False,"NO_SCI, CALIB_TEST","NO_SCI, CALIB_TEST","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2025-01-01,Thomas,False,,COB_TEST,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-31,Thomas,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-30,Thomas,False,CALIB_TEST,CALIB_TEST,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-29,Avidaan,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-28,Avidaan,False,"COB_TEST, NO_SCI",NO_SCI,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-27,Avidaan,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-26,Avidaan,False,,,"PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START","PIXEL_SHIFTS, APERO_START, APERO_CALIB, APERO_END, HAS_OBSDIR, ARI_END, ARI_START, MANUAL_END, MANUAL_START"
2024-12-25,Avidaan,False,,,"HAS_OBSDIR, PIXEL_SHIFTS, APERO_CALIB","HAS_OBSDIR, PIXEL_SHIFTS, APERO_CALIB"
