obsdir,who,mentioned,raw_ha,raw_he,red_ha,red_he
2025-02-28,Leslie,True,ENG_TEST,ENG_TEST,EXCESS_MODAL,
2025-02-27,Leslie,True,"CALIB_TEST, ENG_TEST, COB_TEST",ENG_TEST,APERO_CALIB,
2025-02-26,Leslie,True,"NO_SCI, ENG_TEST, COB_TEST","NO_SCI, ENG_TEST, COB_TEST",,
2025-02-25,Leslie,True,"CALIB_TEST, ENG_TEST, COB_TEST","ENG_TEST, COB_TEST",APERO_CALIB,
2025-02-24,Leslie,True,"ENG_TEST, COB_TEST","ENG_TEST, COB_TEST",,
2025-02-23,Alexandrine,True,COB_TEST,ENG_TEST,,
2025-02-11,Avidaan,True,"ENG_TEST, COB_TEST","ENG_TEST, COB_TEST",,
2025-02-06,Charles,True,COB_TEST,COB_TEST,,
2025-02-02,Laurie,True,,ENG_TEST,,
2025-02-01,Laurie,True,"SCI_QUAL, HAS_OBSDIR, NO_SCI, CALIB_QUAL, CALIB_TEST, COB_TEST",ENG_TEST,,
2025-01-28,Laurie,True,,ENG_TEST,,
2025-01-18,Leslie,True,ENG_TEST,ENG_TEST,,
2025-01-17,Leslie,True,ENG_TEST,ENG_TEST,,
2025-01-16,Leslie,True,ENG_TEST,ENG_TEST,,
2025-01-11,Frederic,True,,ENG_TEST,,
2025-01-05,Thomas,True,ENG_TEST,ENG_TEST,,
2025-01-04,Thomas,True,ENG_TEST,ENG_TEST,,
2025-01-01,Thomas,True,ENG_TEST,ENG_TEST,,
2024-12-31,Thomas,True,ENG_TEST,,,
2024-12-30,Thomas,True,ENG_TEST,ENG_TEST,,
2024-12-29,Avidaan,True,ENG_TEST,ENG_TEST,,
2024-12-28,Avidaan,True,,ENG_TEST,,
2024-12-27,Avidaan,True,,,EXCESS_MODAL,EXCESS_MODAL
2024-12-23,Avidaan,True,ENG_TEST,ENG_TEST,,
2024-12-22,Luc,True,,ENG_TEST,,
2024-12-21,Luc,True,,,EXCESS_MODAL,
