OBJNAME,STATUS,ACTIVITY
L230M188,Accepted,Active
SCR_J1546M5534,Rejected,Active
TIC304392811,Rejected,Inactive
LP_851M346,Rejected,Inactive
GJ_1028,Accepted,Active
LP885M35,Rejected,Inactive
DENIS_J104814_6M395606,Rejected,Inactive
SIPS_J1259M4336,Accepted,Active
LP_500M35,Accepted,Active
GJ3252,Rejected,Inactive
GJ3693,Accepted,Active
GL299,Accepted,Inactive
NLTT5556,Accepted,Active
GJ3622,Accepted,Active
LP888M18,Rejected,Inactive
TEEGARDENS_STAR,Rejected,Inactive
LP_938M71,Accepted,Active
GJ3618,Accepted,Active
GL406,Accepted,Active
"GJ1116A, GJ1116B",Accepted,Active
TIC190138951,Accepted,Active
SCRJ1138M7721,,Active
VB10,Accepted,Active
LP_783M2,Accepted,Active
