x,y
2324,4
3403,4
84,5
1963,5
2238,5
1679,6
85,7
1615,7
2494,7
2842,7
3346,7
2971,8
3652,8
3889,8
4013,8
703,9
3964,9
4013,10
435,11
3251,11
3367,11
88,12
2746,14
732,15
1002,15
1918,15
3037,15
1014,16
3696,19
93,20
2713,20
1453,21
1567,21
1088,22
1084,24
1315,24
3071,24
3428,24
527,26
1947,26
3230,26
494,27
3748,27
1396,28
1597,30
1924,30
2569,30
3456,30
2425,31
2619,33
3570,33
100,34
1981,34
3539,35
2514,36
102,37
1078,38
1308,38
1568,38
2722,38
2878,38
246,39
1875,39
3009,40
1549,41
2829,41
568,42
2953,42
465,43
2419,43
2612,43
719,44
2578,44
1350,45
1883,45
3031,45
2877,47
2354,48
149,49
2148,49
110,50
3648,50
1661,52
1758,52
2001,52
1680,53
1022,54
2231,54
2648,54
2655,54
2041,55
2330,55
1460,56
1483,56
3206,58
3772,58
1213,59
242,60
1381,60
2384,60
2097,62
202,63
505,63
1015,64
1806,64
2794,65
3059,65
3323,65
1889,66
3092,66
1712,68
3231,68
1808,69
436,70
1706,70
3819,71
1781,72
2672,72
882,73
4079,74
522,75
3015,75
738,76
3214,76
2965,77
3206,77
1156,78
2007,78
3681,78
3030,79
3750,80
4062,80
1258,81
1853,81
3310,81
268,82
3369,82
891,83
486,84
1245,84
1252,87
1428,89
1913,90
1550,91
3440,91
3883,91
504,92
888,93
1746,93
2003,93
3859,93
1005,94
2011,94
3870,95
1763,97
2779,97
3859,97
652,98
875,98
1199,98
2700,98
3154,98
20,99
2663,99
2824,99
3860,99
3019,100
3296,100
1049,101
3209,101
3439,101
710,102
3433,102
844,103
2500,103
2866,103
23,104
1083,104
804,105
618,106
287,107
3367,108
351,109
3968,109
27,110
2588,110
2307,111
1100,113
2840,113
2263,114
2976,114
2972,115
3141,115
3470,115
244,116
31,117
3243,117
3435,117
3863,117
1822,118
1550,119
2289,119
2552,119
3594,119
1151,120
2069,121
124,122
2091,122
3858,122
1323,125
1505,125
2335,125
1269,126
1390,126
1725,126
75,127
686,127
1004,127
1698,127
3383,127
2565,128
408,129
2943,129
39,130
2062,130
3844,130
3524,131
955,132
1436,132
2692,132
41,133
1539,133
1816,133
1294,134
2516,134
2677,134
3443,134
711,135
1344,135
1728,135
1804,135
2414,135
3165,135
43,136
3791,136
3804,136
1553,137
2060,137
3684,137
3480,139
1984,140
2408,140
1203,141
2273,141
2303,141
1429,142
3114,142
2788,143
3776,143
1628,144
3799,144
437,145
1002,145
1263,145
3371,147
366,148
1290,148
347,150
2268,150
3053,150
1096,151
1449,151
2246,151
2883,151
1106,152
1845,152
1450,153
2435,153
4008,153
1207,156
1621,157
2299,157
3677,157
2251,158
2333,158
2897,158
57,159
1631,159
482,160
389,161
3913,161
3987,161
850,162
1141,162
2267,162
3020,163
495,164
3272,164
61,165
1435,165
2011,165
2182,165
2298,165
3168,167
3952,167
914,168
471,169
1853,169
3148,169
594,170
2311,171
3223,171
65,172
3645,172
342,173
2168,174
1985,177
250,178
2927,178
43,179
2434,179
2906,179
668,180
1526,180
2638,180
786,181
4038,182
648,183
562,184
1368,185
1645,185
2303,185
2485,186
2020,187
619,188
1328,188
3251,189
1441,190
2445,191
281,192
1127,192
1543,192
1690,193
2716,193
3430,193
3654,193
1213,194
1227,194
2966,194
3126,194
3159,195
2548,196
1044,197
2566,199
4009,199
1488,200
3016,200
83,201
1526,201
1649,201
2717,202
3654,202
3802,202
2328,203
1511,204
1923,204
2795,204
173,205
220,205
2646,206
3622,206
3779,206
3648,207
649,208
3659,208
947,209
1780,209
3348,209
3117,210
3936,211
2282,212
2810,213
3595,213
2800,214
3545,214
3847,215
322,216
999,216
2116,216
2605,216
461,218
3308,218
19,219
1416,219
591,220
611,220
2389,221
2477,221
2987,221
1952,222
3097,222
142,223
4001,223
2698,225
2797,225
1589,226
2466,226
1799,227
131,229
544,230
1863,230
2261,231
2676,231
96,232
3736,232
4057,232
3232,233
1596,234
129,236
8,237
2468,238
3638,239
1891,240
1318,241
2526,241
3839,242
739,243
1908,243
1238,244
2157,244
1865,245
1906,245
2996,245
734,246
1235,246
231,247
264,249
21,251
312,251
290,252
1515,252
2200,252
2279,252
3481,252
1225,253
2789,254
1936,255
2385,255
2646,255
1202,256
1990,257
2244,257
449,258
3431,258
4038,258
1606,259
3751,259
229,260
708,260
947,261
2845,261
3168,261
3246,262
1753,264
3292,264
2391,265
2848,265
3352,265
3708,265
3764,265
528,266
1863,266
3582,266
1904,268
238,270
276,270
1708,270
3205,270
4071,270
2944,271
3531,271
3758,271
3282,273
700,274
757,274
1974,274
3597,274
3707,275
2606,276
705,277
